"state","costIndex","groceryCost","housingCost","utilitiesCost","transportationCost","miscCost"
"Mississippi","83.3000","92.2000","66.3000","90.4000","86.7000","91.4000"
"Kansas","86.5000","91.7000","72.6000","100.2000","97.3000","90.3000"
"Alabama","87.9000","98.2000","70.1000","100.7000","92.7000","94.1000"
"Oklahoma","87.9000","94.5000","74.7000","95.1000","94.8000","93.5000"
"Georgia","88.8000","95.9000","74.4000","90.5000","92.6000","96.6000"
"Tennessee","89","94.7000","79.3000","92.5000","88.8000","92.9000"
"Missouri","89.8000","95","80.3000","95.4000","92.4000","95.8000"
"Iowa","89.9000","98.4000","76","94.9000","97.7000","93.7000"
"West Virginia","90.5000","96.5000","78.6000","89.4000","92.2000","102.9000"
"Indiana","90.6000","92.7000","78.3000","99","98.3000","95.2000"
"Arkansas","90.9000","93.1000","79.1000","92.3000","92.3000","97.4000"
"New Mexico","91","95.5000","84.3000","89.6000","98.1000","91.9000"
"Michigan","91.3000","90.1000","80.7000","99.7000","103.2000","96.4000"
"Ohio","91.3000","99.2000","76.5000","92","98.6000","98.7000"
"Texas","92.1000","90.8000","83.8000","103.2000","94.1000","97"
"Louisiana","93","96.8000","86","87","96.5000","98.4000"
"Kentucky","93.1000","92.1000","79.9000","104.7000","103","103.7000"
"South Carolina","93.6000","99.5000","79.6000","105.2000","95.2000","99.4000"
"Nebraska","93.7000","98.6000","86.6000","89.3000","100.2000","96.8000"
"Illinois","94.3000","98.4000","86.6000","96.5000","105.8000","96.7000"
"Wyoming","94.3000","102.7000","81.3000","85.2000","99.9000","105.5000"
"North Carolina","95.7000","97.6000","88.6000","97.7000","92.8000","99.2000"
"Wisconsin","96.4000","99.5000","88.4000","99.4000","99.5000","98.9000"
"North Dakota","98.2000","101","95.4000","95.2000","104.2000","96.3000"
"Utah","99","97.3000","98.4000","90.9000","109.9000","99.5000"
"Minnesota","100","103.9000","90.2000","96.5000","99.4000","108.8000"
"Florida","100.3000","105.6000","99","105.3000","98.8000","98.4000"
"Montana","100.7000","103.4000","106.3000","88","94.7000","98.6000"
"South Dakota","101","102.1000","112.8000","91.8000","89.7000","91.1000"
"Virginia","101.8000","95.2000","111.5000","96.7000","90.4000","100.2000"
"Idaho","102.1000","93.8000","110.4000","82.3000","111.7000","100.9000"
"Pennsylvania","102.5000","107.8000","98","109.7000","105.6000","102.9000"
"Arizona","103.2000","101.5000","107.7000","104.8000","98.8000","99.7000"
"Colorado","105.3000","98.1000","116.4000","88.4000","105.6000","107.4000"
"Nevada","106.3000","107","117.9000","88.4000","119.7000","99.3000"
"Delaware","107.9000","114","103.1000","96.5000","113","113.7000"
"New Hampshire","109.9000","103.6000","108.1000","113.6000","97.2000","110.8000"
"Washington","111.6000","108.4000","119","90.8000","117.4000","110.4000"
"Maine","115","102.2000","136.6000","102.3000","104.6000","108.4000"
"New Jersey","115.2000","107.3000","136.6000","104.6000","105.5000","106.6000"
"Vermont","117","109.2000","136.2000","119","114.2000","104.1000"
"Rhode Island","117.2000","107.7000","121.7000","127.6000","107.6000","118.7000"
"Connecticut","121.6000","106.4000","134.6000","132.4000","111.1000","114.1000"
"Maryland","124","110.4000","165.9000","105.1000","107.6000","108"
"Alaska","127.1000","134.5000","126.9000","154.8000","109.9000","113.7000"
"Oregon","130.1000","107.8000","172.6000","90.2000","125.9000","118.5000"
"Massachusetts","135","119.3000","177.6000","111.1000","111.3000","116.1000"
"California","142.2000","113.7000","201.9000","124.3000","131.7000","111.3000"
"New York","148.2000","118.4000","230.1000","99.8000","108.7000","114.8000"
"Hawaii","193.3000","152.9000","315","164.2000","133.7000","126.7000"